"filename", "language", "Python", "MS SQL", "Ini", "Markdown", "Properties", "JSON", "comment", "blank", "total"
"c:\Users\Mg Magic\Documents\Programming_Project\src\database\DatabaseInitializer.py", "Python", 22, 0, 0, 0, 0, 0, 2, 3, 27
"c:\Users\Mg Magic\Documents\Programming_Project\src\database\IDatabase.py", "Python", 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Mg Magic\Documents\Programming_Project\src\database\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Mg Magic\Documents\Programming_Project\src\database\database.py", "Python", 65, 0, 0, 0, 0, 0, 4, 5, 74
"c:\Users\Mg Magic\Documents\Programming_Project\src\main.py", "Python", 5, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\Mg Magic\Documents\Programming_Project\src\storage.db", "MS SQL", 0, 24, 0, 0, 0, 0, 0, 0, 24
"c:\Users\Mg Magic\Documents\Programming_Project\src\storage\Repository\IStorageRepository.py", "Python", 21, 0, 0, 0, 0, 0, 0, 9, 30
"c:\Users\Mg Magic\Documents\Programming_Project\src\storage\Repository\StorageRepository.py", "Python", 31, 0, 0, 0, 0, 0, 9, 8, 48
"c:\Users\Mg Magic\Documents\Programming_Project\src\storage\Repository\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Mg Magic\Documents\Programming_Project\src\storage\Service\IStorageService.py", "Python", 21, 0, 0, 0, 0, 0, 0, 9, 30
"c:\Users\Mg Magic\Documents\Programming_Project\src\storage\Service\StorageService.py", "Python", 18, 0, 0, 0, 0, 0, 0, 9, 27
"c:\Users\Mg Magic\Documents\Programming_Project\src\storage\Service\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Mg Magic\Documents\Programming_Project\src\storage\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Mg Magic\Documents\Programming_Project\src\storage\dto.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\Mg Magic\Documents\Programming_Project\src\user\Repository\IUserRepository.py", "Python", 25, 0, 0, 0, 0, 0, 0, 8, 33
"c:\Users\Mg Magic\Documents\Programming_Project\src\user\Repository\UserRepository.py", "Python", 38, 0, 0, 0, 0, 0, 10, 9, 57
"c:\Users\Mg Magic\Documents\Programming_Project\src\user\Service\IUserService.py", "Python", 25, 0, 0, 0, 0, 0, 0, 8, 33
"c:\Users\Mg Magic\Documents\Programming_Project\src\user\Service\UserService.py", "Python", 21, 0, 0, 0, 0, 0, 0, 9, 30
"c:\Users\Mg Magic\Documents\Programming_Project\src\user\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Mg Magic\Documents\Programming_Project\src\user\dto.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\Mg Magic\Documents\Programming_Project\storage.db", "MS SQL", 0, 10, 0, 0, 0, 0, 0, 0, 10
"c:\Users\Mg Magic\Documents\Programming_Project\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Mg Magic\Documents\Programming_Project\tests\storage_repository_test.py", "Python", 104, 0, 0, 0, 0, 0, 37, 38, 179
"c:\Users\Mg Magic\Documents\Programming_Project\tests\user_repository_test.py", "Python", 125, 0, 0, 0, 0, 0, 47, 49, 221
"Total", "-", 654, 5581, 5, 45, 1, 322, 109, 296, 7013
